exp_id,parent_id,date,approach,change,tier,n_features,cv_mean,cv_std,folds,delta,significant,lb,runtime_min,seed,config,verdict,gini_pred,total_rel_err,best_iters,notes
e0007,e0001,2026-08-11T08:58:26,gbdt_direct,+counts+rank+visit+channel combined (re-validation of 4 isolated keeps),confirm,145,1.77467,0.02267,"[1.78664, 1.80334, 1.78463, 1.76002, 1.73874]",-0.15394,yes,,23.1,0,configs/e0007_combined.yaml,,0.7746,-0.5829,,CLAUDE.md 4.1: deltas do not add up; the combination is its own experiment
e0010,e0001,2026-08-11T08:52:36,gbdt_direct,"two-part hurdle model P(buy) x E[log1p|buy], base features only",confirm,62,1.77836,0.0221,"[1.79284, 1.80564, 1.78638, 1.76307, 1.74387]",-0.15026,yes,,17.2,0,configs/e0010_twopart.yaml,,0.7749,-0.5429,,BACKLOG B1; oracle split scores 0.983 vs 1.834 naive. Parts multiply in LOG space.
e0011,e0001,2026-08-11T08:55:18,gbdt_direct,"+diff feature block (pure lag/diff structure, decomposed out of the killed e0003 bundle)",confirm,113,1.77833,0.02321,"[1.79196, 1.80758, 1.78766, 1.76228, 1.74216]",-0.15029,yes,,16.4,0,configs/e0011_diff.yaml,,0.7722,-0.5621,,CLAUDE.md 4.1: a negative BUNDLE can hide a positive part; e0003 is decomposed here
e0012,e0001,2026-08-11T08:52:01,gbdt_direct,+cumshare feature block (cumsum-derived shares of lifetime + self-normalised levels),confirm,81,1.78053,0.0232,"[1.79504, 1.80829, 1.79124, 1.76387, 1.74424]",-0.14808,yes,,13.2,0,configs/e0012_cumshare.yaml,,0.7699,-0.5852,,CLAUDE.md 4.1: a negative BUNDLE can hide a positive part; e0003 is decomposed here
e0013,e0001,2026-08-11T08:52:28,gbdt_direct,"+ewm feature block (EWM family alone, decomposed out of e0003)",confirm,70,1.77806,0.02142,"[1.79123, 1.80489, 1.78624, 1.76325, 1.74467]",-0.15056,yes,,13.6,0,configs/e0013_ewm.yaml,,0.7724,-0.5538,,CLAUDE.md 4.1: a negative BUNDLE can hide a positive part; e0003 is decomposed here
e0014,e0001,2026-08-11T08:49:37,gbdt_direct,"+com feature block (centre-of-mass family alone, decomposed out of e0003)",confirm,68,1.77948,0.0222,"[1.79281, 1.8076, 1.78779, 1.76427, 1.74491]",-0.14914,yes,,10.8,0,configs/e0014_com.yaml,,0.7711,-0.5753,,CLAUDE.md 4.1: a negative BUNDLE can hide a positive part; e0003 is decomposed here
e0015,e0007,2026-08-11T09:25:33,gbdt_direct,+ewm block on top of e0007 (ewm was wrongly killed inside the e0003 bundle),confirm,153,1.7747,0.02265,"[1.78694, 1.80316, 1.78479, 1.75963, 1.73897]",-0.15392,yes,,21.5,0,configs/e0015_ewm_combined.yaml,,0.7738,-0.5807,"[3000, 3000, 3000, 3000, 3000]",recovers the winner the e0003 bundle masked
e0016,e0015,2026-08-11T11:55:26,gbdt_direct,"num_boost_round 3000 -> 30000, patience 100 -> 200; let early stopping actually fire",confirm,153,1.81882,0.02983,"[1.84603, 1.85062, 1.82647, 1.79996, 1.77102]",-0.1098,yes,,171.4,0,configs/e0016_nocap.yaml,,0.7735,-0.5586,"[29998, 30000, 30000, 30000, 30000]",every prior run hit the 3000 cap (best_iteration 2996-3000) so all deltas so far are on an undertrained model
e0017,e0007,2026-08-11T13:30:55,gbdt_direct,es_gap_days 0 -> 30: separate the early-stopping anchor from the fit anchors by a full horizon,confirm,145,1.77083,0.02015,"[1.77714, 1.7983, 1.78268, 1.75324, 1.74281]",-0.15779,yes,,5.6,0,configs/e0017_esgap.yaml,,0.7698,-0.597,"[136, 130, 270, 225, 454]",e0016 showed ES never fires because the ES anchor is a near-duplicate of training rows; this decontaminates it
e0018,e0017,2026-08-11T13:31:12,gbdt_direct,cap 3000 -> 30000 with a DECONTAMINATED early-stopping set (vs e0016 which lifted the cap with a contaminated one),confirm,145,1.77083,0.02015,"[1.77714, 1.7983, 1.78268, 1.75324, 1.74281]",-0.15779,yes,,5.8,0,configs/e0018_esgap_nocap.yaml,,0.7698,-0.597,"[136, 130, 270, 225, 454]",the real test of early stopping: does it now fire at a sensible iteration?
e0019,e0017,2026-08-11T13:47:40,gbdt_direct,"+dispersion block (Fano factor, timing CV, burstiness, HHI) on top of e0017",confirm,185,1.76987,0.02026,"[1.77664, 1.7976, 1.78122, 1.7523, 1.74159]",-0.15875,yes,,4.1,0,configs/e0019_dispersion.yaml,,0.7719,-0.5982,"[132, 161, 178, 230, 352]",PAPERS_FEATURES_AND_IDEAS.md B1+B2: a VARIANCE family; every graveyard feature is a first moment
e0020,e0019,2026-08-11T14:07:47,gbdt_direct,"drop the ES holdout, fix rounds at 178 (median of e0019 stops), train on ALL anchors",confirm,185,1.76638,0.02154,"[1.77424, 1.79488, 1.77796, 1.75143, 1.7334]",-0.16224,yes,1.6578,3.7,0,configs/e0020_fixedrounds.yaml,keep,0.7732,-0.5955,"[178, 178, 178, 178, 178]","diag_es.json: validation curve flat (80..740 within 0.001), ES regret only +0.00011, but the holdout costs ~4 anchors of training data"
e0020r,e0019,2026-08-12T00:41:44,gbdt_direct,e0020 re-run after the data.py/features.py refactor -- reproducibility check,confirm,185,1.76638,0.02154,"[1.77424, 1.7949, 1.77796, 1.75143, 1.7334]",-0.16223,yes,,7.0,0,configs/e0020r_repro.yaml,,0.7732,-0.5955,"[178, 178, 178, 178, 178]","must reproduce 1.76638 exactly; if not, the refactor changed core features"
e0023,e0020,2026-08-11T22:50:25,gbdt_direct,"+stacked 7d/14d short-horizon model predictions as features (nested, 37d buffer)",confirm,187,1.76569,0.02163,"[1.77371, 1.79364, 1.7783, 1.75025, 1.73257]",-0.16293,,,25.0,0,configs/e0023_stacked.yaml,,0.7746,-0.5843,"[178, 178, 178, 178, 178]",BACKLOG B4 / ODMN 1.4; short target is a SUBSET of the 30d target so nesting is mandatory
e0023_LEAKY,e0020,2026-08-11T23:26:14,gbdt_direct,"+stacked 7d/14d short-horizon model predictions as features (nested, 37d buffer)",confirm,187,1.76682,0.02199,"[1.77615, 1.7957, 1.77791, 1.75104, 1.73328]",-0.1618,,,31.6,0,configs/e0023_stacked.yaml,,0.7744,-0.592,"[178, 178, 178, 178, 178]",BACKLOG B4 / ODMN 1.4; short target is a SUBSET of the 30d target so nesting is mandatory
e0024,e0020,2026-08-11T22:35:29,gbdt_direct,"multi-task: add 7d/14d horizon rows with horizon-as-feature (no stacking, no data loss)",confirm,186,1.76678,0.02151,"[1.77404, 1.7955, 1.77842, 1.75214, 1.73383]",-0.16183,yes,,10.1,0,configs/e0024_multitask.yaml,,0.7736,-0.5961,"[178, 178, 178, 178, 178]",cheaper form of the same hypothesis: short-horizon supervision without nested models
e0025,e0020,2026-08-11T23:39:30,gbdt_direct,training anchors extended back to min_history_days=30 (was 90); variable-length windows,confirm,185,1.76712,0.02185,"[1.77517, 1.79581, 1.77908, 1.75193, 1.73358]",-0.1615,yes,,5.4,0,configs/e0025_minhist30.yaml,,0.7743,-0.6002,"[178, 178, 178, 178, 178]",adds early 2025 anchors incl. the Feb-Mar gift season in target position; validation folds unchanged
e0026,e0020,2026-08-11T23:39:05,gbdt_direct,training anchors extended back to min_history_days=60 (was 90); variable-length windows,confirm,185,1.76664,0.02159,"[1.77444, 1.79513, 1.77842, 1.75168, 1.73353]",-0.16198,yes,,5.1,0,configs/e0026_minhist60.yaml,,0.773,-0.5987,"[178, 178, 178, 178, 178]",adds early 2025 anchors incl. the Feb-Mar gift season in target position; validation folds unchanged
e0027,e0020,2026-08-11T23:42:08,gbdt_direct,blend member: features restricted to a 30-day lookback (feature_max_window=30),confirm,66,1.85212,0.01781,"[1.85101, 1.87244, 1.86865, 1.84561, 1.82287]",-0.0765,yes,,2.8,0,configs/e0027_lookback30.yaml,,0.7607,-0.6546,"[178, 178, 178, 178, 178]",NOT expected to beat e0020 alone; built for decorrelated errors in a log-space blend
e0028,e0020,2026-08-11T23:40:54,gbdt_direct,blend member: features restricted to a 90-day lookback (feature_max_window=90),confirm,128,1.79448,0.01738,"[1.7966, 1.81835, 1.80578, 1.78334, 1.76834]",-0.13414,yes,,4.0,0,configs/e0028_lookback90.yaml,,0.776,-0.6125,"[178, 178, 178, 178, 178]",NOT expected to beat e0020 alone; built for decorrelated errors in a log-space blend
e0029,e0020,2026-08-11T23:41:27,gbdt_direct,blend member: features restricted to a 15-day lookback,confirm,28,1.97655,0.01838,"[1.97373, 1.99328, 1.99958, 1.96777, 1.94838]",0.04793,yes,,2.1,0,configs/e0029_lookback15.yaml,,0.7491,-0.708,"[178, 178, 178, 178, 178]","blend member; judged by its contribution to the log-space blend, not standalone CV"
e0030,e0020,2026-08-11T23:42:00,gbdt_direct,blend member: features restricted to a 60-day lookback,confirm,83,1.81488,0.01675,"[1.81605, 1.8354, 1.82825, 1.80702, 1.78768]",-0.11374,yes,,2.7,0,configs/e0030_lookback60.yaml,,0.7729,-0.6238,"[178, 178, 178, 178, 178]","blend member; judged by its contribution to the log-space blend, not standalone CV"
e0031,e0020,2026-08-11T23:42:43,gbdt_direct,blend member: features restricted to a 120-day lookback,confirm,131,1.7841,0.01784,"[1.78575, 1.80895, 1.79601, 1.77161, 1.75815]",-0.14452,yes,,4.3,0,configs/e0031_lookback120.yaml,,0.7753,-0.5999,"[178, 178, 178, 178, 178]","blend member; judged by its contribution to the log-space blend, not standalone CV"
e0032,e0020,2026-08-11T23:43:30,gbdt_direct,blend member: features restricted to a 180-day lookback,confirm,143,1.77163,0.01859,"[1.77497, 1.7972, 1.78349, 1.75799, 1.74448]",-0.15699,yes,,5.1,0,configs/e0032_lookback180.yaml,,0.7749,-0.5912,"[178, 178, 178, 178, 178]","blend member; judged by its contribution to the log-space blend, not standalone CV"
e0033,e0020,2026-08-11T23:43:09,gbdt_direct,blend member: features restricted to a 270-day lookback,confirm,146,1.76959,0.01989,"[1.7748, 1.79707, 1.78085, 1.75481, 1.74044]",-0.15902,yes,,3.8,0,configs/e0033_lookback270.yaml,,0.7728,-0.5801,"[178, 178, 178, 178, 178]","was 240d, identical feature set to 180d; retargeted to 270d which separates via ewm hl90"
e0034,e0020,2026-08-11T23:41:55,gbdt_direct,blend member: features restricted to a 360-day lookback,confirm,146,1.76959,0.01989,"[1.7748, 1.79707, 1.78085, 1.75481, 1.74044]",-0.15902,yes,,3.5,0,configs/e0034_lookback360.yaml,,0.7728,-0.5801,"[178, 178, 178, 178, 178]","blend member; judged by its contribution to the log-space blend, not standalone CV"
e0035,e0020,2026-08-11T23:51:22,gbdt_direct,"blend member: DATA truncated to the last 15 days (exact), vs name-filtered equivalent",confirm,185,1.96505,0.01715,"[1.96192, 1.98124, 1.98615, 1.95715, 1.93878]",-0.84024,yes,,3.3,0,configs/e0035_trunc15.yaml,,0.7424,-0.6943,"[178, 178, 178, 178, 178]","A/B against the name-filter member at the same N; windows clamped, recency/tenure capped, EWM re-based in closed form"
e0036,e0020,2026-08-12T00:00:22,gbdt_direct,"blend member: DATA truncated to the last 90 days (exact), vs name-filtered equivalent",confirm,185,1.7988,0.01622,"[1.79995, 1.82079, 1.80944, 1.79044, 1.77336]",-0.12982,yes,,12.3,0,configs/e0036_trunc90.yaml,,0.7732,-0.6039,"[178, 178, 178, 178, 178]","A/B against the name-filter member at the same N; windows clamped, recency/tenure capped, EWM re-based in closed form"
e0037,e0020,2026-08-11T23:52:03,gbdt_direct,"blend member: DATA truncated to the last 360 days (exact), vs name-filtered equivalent",confirm,185,1.76638,0.02154,"[1.77424, 1.79488, 1.77796, 1.75143, 1.7334]",-0.16224,yes,,4.1,0,configs/e0037_trunc360.yaml,,0.7732,-0.5955,"[178, 178, 178, 178, 178]","A/B against the name-filter member at the same N; windows clamped, recency/tenure capped, EWM re-based in closed form"
e0038,e0020,2026-08-12T00:13:57,gbdt_direct,+tsfeat block: series-shape stats ported from a structural-break competition,confirm,235,1.76628,0.02147,"[1.77406, 1.79474, 1.77771, 1.75158, 1.7333]",-0.16234,yes,,19.0,0,configs/e0038_tsfeat.yaml,,0.7731,-0.595,"[178, 178, 178, 178, 178]","skew/kurtosis, autocorr 1+7, weekly spectral power, spectral entropy, run structure, distributional shift"
e0039,e0020,2026-08-12T02:09:49,gbdt_direct,+sbc block: full 52-stat structural-break vocabulary across 7 windows (7..365d),confirm,809,1.76559,0.02162,"[1.77346, 1.79415, 1.77723, 1.75076, 1.73237]",-0.16302,yes,,104.6,0,configs/e0039_sbc.yaml,,0.773,-0.5906,"[178, 178, 178, 178, 178]",wide on purpose; importance filtering (CLAUDE.md 5.3-5.4) is the follow-up
e0040,e0020,2026-08-12T02:26:13,gbdt_direct,"+sbc AND tsfeat blocks together, 7 windows",confirm,859,1.76563,0.02162,"[1.77365, 1.79417, 1.77716, 1.75082, 1.73237]",-0.16299,yes,,121.1,0,configs/e0040_sbc_tsfeat.yaml,,0.7726,-0.5906,"[178, 178, 178, 178, 178]",wide on purpose; importance filtering (CLAUDE.md 5.3-5.4) is the follow-up
e0041,e0020,2026-08-12T02:13:46,gbdt_direct,"+sbcshape family alone, on top of the core set",confirm,293,1.76612,0.02143,"[1.77377, 1.79471, 1.77744, 1.75133, 1.73336]",-0.1625,yes,,99.0,0,configs/e0041_sbcshape.yaml,,0.7729,-0.5929,"[178, 178, 178, 178, 178]",CLAUDE.md 4.1 -- the 644-feature sbc block is a bundle; families tested alone
e0042,e0020,2026-08-12T02:13:52,gbdt_direct,"+sbcmoment family alone, on top of the core set",confirm,329,1.76649,0.02158,"[1.77445, 1.79522, 1.7778, 1.75143, 1.73355]",-0.16213,yes,,99.1,0,configs/e0042_sbcmoment.yaml,,0.7734,-0.5921,"[178, 178, 178, 178, 178]",CLAUDE.md 4.1 -- the 644-feature sbc block is a bundle; families tested alone
e0043,e0020,2026-08-12T01:57:18,gbdt_direct,"+sbcorder family alone, on top of the core set",confirm,377,1.76609,0.0215,"[1.77393, 1.79449, 1.77782, 1.75093, 1.7333]",-0.16252,yes,,82.5,0,configs/e0043_sbcorder.yaml,,0.7732,-0.5908,"[178, 178, 178, 178, 178]",CLAUDE.md 4.1 -- the 644-feature sbc block is a bundle; families tested alone
e0044,e0020,2026-08-12T01:57:07,gbdt_direct,"+sbcnorm family alone, on top of the core set",confirm,209,1.7661,0.02159,"[1.77415, 1.79448, 1.77784, 1.751, 1.73302]",-0.16252,yes,,82.4,0,configs/e0044_sbcnorm.yaml,,0.7735,-0.5937,"[178, 178, 178, 178, 178]",CLAUDE.md 4.1 -- the 644-feature sbc block is a bundle; families tested alone
e0045,e0020,2026-08-12T01:49:28,gbdt_direct,"+sbcspec family alone, on top of the core set",confirm,245,1.7662,0.02157,"[1.77426, 1.79457, 1.77779, 1.75142, 1.73298]",-0.16242,yes,,74.7,0,configs/e0045_sbcspec.yaml,,0.7727,-0.5931,"[178, 178, 178, 178, 178]",CLAUDE.md 4.1 -- the 644-feature sbc block is a bundle; families tested alone
e0046,e0020,2026-08-12T01:47:21,gbdt_direct,"+sbcts family alone, on top of the core set",confirm,269,1.76607,0.0215,"[1.77373, 1.79463, 1.77771, 1.75104, 1.73326]",-0.16255,yes,,72.6,0,configs/e0046_sbcts.yaml,,0.7735,-0.5957,"[178, 178, 178, 178, 178]",CLAUDE.md 4.1 -- the 644-feature sbc block is a bundle; families tested alone
e0047,e0020,2026-08-12T01:47:12,gbdt_direct,"+sbcent family alone, on top of the core set",confirm,197,1.76631,0.02167,"[1.77432, 1.79506, 1.77782, 1.75113, 1.73321]",-0.16231,yes,,72.4,0,configs/e0047_sbcent.yaml,,0.7726,-0.5939,"[178, 178, 178, 178, 178]",CLAUDE.md 4.1 -- the 644-feature sbc block is a bundle; families tested alone
e0048,e0020,2026-08-12T00:51:58,gbdt_direct,"+tsfeat family alone, on top of the core set",confirm,235,1.76628,0.02147,"[1.77406, 1.79474, 1.77771, 1.75158, 1.7333]",-0.16234,yes,,17.2,0,configs/e0048_tsfeat.yaml,,0.7731,-0.595,"[178, 178, 178, 178, 178]",CLAUDE.md 4.1 -- the 644-feature sbc block is a bundle; families tested alone
e0049,e0039,2026-08-12T09:28:01,gbdt_direct,drop the sbcmoment family (the only actively harmful one) from the full sbc set,confirm,665,1.76551,0.02152,"[1.77312, 1.794, 1.77715, 1.75088, 1.73239]",-0.16311,yes,,122.9,0,configs/e0049_nomoment.yaml,,0.7725,-0.5908,"[178, 178, 178, 178, 178]",sbcmoment scored +0.00010 on 1/5 folds in isolation (e0042); everything else kept
e0050,e0020,2026-08-12T08:00:37,gbdt_direct,"+fcast block: spectral predictability, TFB trend/seasonality/shifting/transition, ACF shape",confirm,233,1.76606,0.02156,"[1.77405, 1.79439, 1.77777, 1.75124, 1.73287]",-0.16255,yes,,25.9,0,configs/e0050_fcast.yaml,,0.7732,-0.595,"[178, 178, 178, 178, 178]",PAPERS_new.md 8.1/8.2/8.3/8.4; Lyapunov deliberately EXCLUDED -- lies above 0.8 sparsity
e0051,e0020,2026-08-12T08:07:09,gbdt_direct,+fcomega alone: spectral predictability (Hann-windowed),confirm,193,1.76626,0.02157,"[1.77425, 1.79475, 1.77778, 1.75141, 1.73313]",-0.16236,yes,,29.2,0,configs/e0051_fcomega.yaml,,0.7729,-0.5968,"[178, 178, 178, 178, 178]",fcast decomposed -- a bundle hides winners inside losers (cf. the trend block)
e0052,e0020,2026-08-12T08:26:52,gbdt_direct,+fcstl alone: TFB trend/seasonality strength,confirm,197,1.76629,0.02154,"[1.77405, 1.79488, 1.77782, 1.75138, 1.73333]",-0.16233,yes,,48.9,0,configs/e0052_fcstl.yaml,,0.7732,-0.5949,"[178, 178, 178, 178, 178]",fcast decomposed -- a bundle hides winners inside losers (cf. the trend block)
e0053,e0020,2026-08-12T08:08:27,gbdt_direct,+fcshift alone: distributional shifting (Lorentzian),confirm,193,1.76633,0.02155,"[1.77409, 1.79492, 1.77796, 1.75128, 1.73343]",-0.16228,yes,,30.5,0,configs/e0053_fcshift.yaml,,0.7731,-0.5956,"[178, 178, 178, 178, 178]",fcast decomposed -- a bundle hides winners inside losers (cf. the trend block)
e0054,e0020,2026-08-12T08:07:55,gbdt_direct,+fctrans alone: 3-symbol transition chain,confirm,193,1.7663,0.02157,"[1.77428, 1.79472, 1.77801, 1.75128, 1.73324]",-0.16231,yes,,29.9,0,configs/e0054_fctrans.yaml,,0.7733,-0.5967,"[178, 178, 178, 178, 178]",fcast decomposed -- a bundle hides winners inside losers (cf. the trend block)
e0055,e0020,2026-08-12T08:09:48,gbdt_direct,+fcacf alone: ACF shape,confirm,197,1.76634,0.0215,"[1.77411, 1.79481, 1.77794, 1.75135, 1.73347]",-0.16228,yes,,31.8,0,configs/e0055_fcacf.yaml,,0.7731,-0.5945,"[178, 178, 178, 178, 178]",fcast decomposed -- a bundle hides winners inside losers (cf. the trend block)
e0056,e0020,2026-08-12T08:27:21,gbdt_direct,drop lifetime/365d features -- the ones anchor_drift blamed for test-cutoff drift,confirm,148,1.76844,0.02078,"[1.77482, 1.7967, 1.77991, 1.75331, 1.73745]",-0.16018,yes,,3.5,0,configs/e0056_nodrift.yaml,,0.7733,-0.5871,"[178, 178, 178, 178, 178]",test cut-off is 3.92x further from training cut-offs than they are from each other; these features carry 65% of that drift
e0057,e0020,2026-08-12T08:27:34,gbdt_direct,drop ONLY lifetime totals (keep 365d windows) -- isolates which half of the drift matters,confirm,177,1.76658,0.02144,"[1.77431, 1.79498, 1.77808, 1.75187, 1.73368]",-0.16204,yes,,3.8,0,configs/e0057_nototals.yaml,,0.7731,-0.594,"[178, 178, 178, 178, 178]","companion to e0056; lifetime totals are unbounded, 365d windows are at least capped"
e0058,e0039,2026-08-12T11:29:35,gbdt_direct,"null-importance filter, cut-off = top100 (from 809 features)",confirm,100,1.76911,0.02067,"[1.77593, 1.79708, 1.78008, 1.75456, 1.73788]",-0.15951,yes,,117.2,0,configs/e0058_filt_top100.yaml,,0.7715,-0.5881,"[178, 178, 178, 178, 178]",CLAUDE.md 5.4 -- filtering must be re-validated and frequently LOSES; each cut-off is its own experiment
e0059,e0039,2026-08-12T11:15:39,gbdt_direct,"null-importance filter, cut-off = top200 (from 809 features)",confirm,200,1.76649,0.02103,"[1.77378, 1.79462, 1.77754, 1.75234, 1.73416]",-0.16213,yes,,103.3,0,configs/e0059_filt_top200.yaml,,0.7714,-0.5898,"[178, 178, 178, 178, 178]",CLAUDE.md 5.4 -- filtering must be re-validated and frequently LOSES; each cut-off is its own experiment
e0060,e0039,2026-08-12T11:33:01,gbdt_direct,"null-importance filter, cut-off = top400 (from 809 features)",confirm,400,1.76547,0.02158,"[1.7734, 1.79404, 1.77695, 1.75058, 1.73236]",-0.16315,yes,,120.6,0,configs/e0060_filt_top400.yaml,,0.7729,-0.5911,"[178, 178, 178, 178, 178]",CLAUDE.md 5.4 -- filtering must be re-validated and frequently LOSES; each cut-off is its own experiment
e0061,e0039,2026-08-12T11:00:27,gbdt_direct,"null-importance filter, cut-off = positive (from 809 features)",confirm,396,1.76554,0.02164,"[1.77334, 1.79417, 1.77712, 1.75082, 1.73224]",-0.16308,yes,,88.0,0,configs/e0061_filt_positive.yaml,,0.7731,-0.5912,"[178, 178, 178, 178, 178]",CLAUDE.md 5.4 -- filtering must be re-validated and frequently LOSES; each cut-off is its own experiment
e0062,e0039,2026-08-12T10:59:32,gbdt_direct,"null-importance filter, cut-off = positive_strict (from 809 features)",confirm,379,1.7655,0.02162,"[1.77353, 1.79415, 1.77696, 1.75044, 1.73244]",-0.16311,yes,,87.1,0,configs/e0062_filt_positive_strict.yaml,,0.7732,-0.5909,"[178, 178, 178, 178, 178]",CLAUDE.md 5.4 -- filtering must be re-validated and frequently LOSES; each cut-off is its own experiment
e0063,e0049,2026-08-12T11:45:45,gbdt_direct,combine everything kept so far: core + sbc(minus moment) + fcast,confirm,713,1.76557,0.02156,"[1.77343, 1.7941, 1.77701, 1.75097, 1.73233]",-0.16305,yes,,129.5,0,configs/e0063_all.yaml,,0.7732,-0.5902,"[178, 178, 178, 178, 178]",CLAUDE.md 4.1 -- a combination of isolated keeps is its own experiment; sbc and fcast were each only tested against core
e0070,e0049,2026-08-12T23:56:51,gbdt_direct,train on the most RECENT 6 anchors only (max_train_anchors=6),confirm,665,1.76574,0.02169,"[1.7734, 1.79454, 1.7777, 1.75013, 1.73293]",-0.16288,yes,,61.3,0,configs/e0070_recent6.yaml,,0.7721,-0.592,"[178, 178, 178, 178, 178]","my_hypothesis.txt #1 -- recent data is more representative of the test period. BACKLOG e0012 (never run). Level correction is dead (k*=0.990, mean term 0.01% of RMSLE^2), so this tests the RELATIONSHIP going stale, not the level."
e0071,e0049,2026-08-13T00:10:26,gbdt_direct,train on the most RECENT 10 anchors only (max_train_anchors=10),confirm,665,1.76551,0.02135,"[1.77312, 1.79369, 1.77716, 1.75087, 1.73271]",-0.16311,yes,,74.9,0,configs/e0071_recent10.yaml,,0.7719,-0.5928,"[178, 178, 178, 178, 178]","my_hypothesis.txt #1 -- recent data is more representative of the test period. BACKLOG e0012 (never run). Level correction is dead (k*=0.990, mean term 0.01% of RMSLE^2), so this tests the RELATIONSHIP going stale, not the level."
e0072,e0049,2026-08-13T00:21:20,gbdt_direct,train on the most RECENT 14 anchors only (max_train_anchors=14),confirm,665,1.76546,0.02159,"[1.77312, 1.794, 1.7772, 1.7507, 1.73227]",-0.16316,yes,,85.8,0,configs/e0072_recent14.yaml,,0.7723,-0.5921,"[178, 178, 178, 178, 178]","my_hypothesis.txt #1 -- recent data is more representative of the test period. BACKLOG e0012 (never run). Level correction is dead (k*=0.990, mean term 0.01% of RMSLE^2), so this tests the RELATIONSHIP going stale, not the level."
